"from","to"
"Anatolia (218)","Audax (362)"
"Andochius (222)","Felix (1137)"
"Andochius (222)","Thyrsus (3046)"
"Felix (1137)","Thyrsus (3046)"
"Inconnu (3812)","Non répertorié (3817)"
"Abdon (5)","Sennen (2793)"
"Abraham (7)","Iacob (1572)"
"Abraham (7)","Isaac (1701)"
"Iacob (1572)","Isaac (1701)"
"Abraham (8)","Maria (2039)"
"Abundantius (10)","Abundius (16)"
"Abundantius (10)","Iohannes (1617)"
"Abundantius (10)","Marcianus (2012)"
"Abundius (16)","Iohannes (1617)"
"Abundius (16)","Marcianus (2012)"
"Iohannes (1617)","Marcianus (2012)"
"Acindynus (28)","Pegasius (2413)"
"Acisclus (29)","Victoria (3173)"
"Adalarius (3334)","Eobanus (3335)"
"Adulfus (55)","Iohannes (1618)"
"Adventor (57)","Octavius (2298)"
"Adventor (57)","Solutor (2894)"
"Octavius (2298)","Solutor (2894)"
"Aemilianus (64)","Brachio (554)"
"Afra (66)","Digna (847)"
"Afra (66)","Eumenia (1047)"
"Afra (66)","Euprepia (1059)"
"Afra (66)","Hilaria (1508)"
"Digna (847)","Eumenia (1047)"
"Digna (847)","Euprepia (1059)"
"Digna (847)","Hilaria (1508)"
"Eumenia (1047)","Euprepia (1059)"
"Eumenia (1047)","Hilaria (1508)"
"Euprepia (1059)","Hilaria (1508)"
"Agape (68)","Chiona (667)"
"Agape (68)","Irene (1695)"
"Chiona (667)","Irene (1695)"
"Agapius (73)","Iacobus (1573)"
"Agapius (73)","Marianus (2054)"
"Agapius (73)","Secundinus (2782)"
"Iacobus (1573)","Marianus (2054)"
"Iacobus (1573)","Secundinus (2782)"
"Marianus (2054)","Secundinus (2782)"
"Achivus (27)","Ambrosius (181)"
"Achivus (27)","Hymnemodus (1570)"
"Achivus (27)","Tranquillus (3067)"
"Ambrosius (181)","Hymnemodus (1570)"
"Ambrosius (181)","Tranquillus (3067)"
"Hymnemodus (1570)","Tranquillus (3067)"
"Aglibertus (81)","Agoardus (88)"
"Albanus (104)","Amphibalus (199)"
"Alexander (134)","Eventius (1093)"
"Alexander (134)","Hermes (1500)"
"Alexander (134)","Quirinus (2600)"
"Alexander (134)","Theodulus (3014)"
"Eventius (1093)","Hermes (1500)"
"Eventius (1093)","Quirinus (2600)"
"Eventius (1093)","Theodulus (3014)"
"Hermes (1500)","Quirinus (2600)"
"Hermes (1500)","Theodulus (3014)"
"Quirinus (2600)","Theodulus (3014)"
"Alexander (132)","Amandus (166)"
"Alexander (132)","Audaldus (361)"
"Alexander (132)","Lucius (1919)"
"Amandus (166)","Audaldus (361)"
"Amandus (166)","Lucius (1919)"
"Audaldus (361)","Lucius (1919)"
"Amator (177)","Ludovicus (1925)"
"Amator (177)","Petrus (2443)"
"Ludovicus (1925)","Petrus (2443)"
"Amelius (188)","Amicus (189)"
"Alcha (3818)","Amon (195)"
"Alcha (3818)","Auspicius (3819)"
"Alcha (3818)","Celsinus (3820)"
"Alcha (3818)","Ursus (3821)"
"Amon (195)","Auspicius (3819)"
"Amon (195)","Celsinus (3820)"
"Amon (195)","Ursus (3821)"
"Auspicius (3819)","Celsinus (3820)"
"Auspicius (3819)","Ursus (3821)"
"Celsinus (3820)","Ursus (3821)"
"Ananias (203)","Petrus (2444)"
"Anastasius (211)","Beldinis (446)"
"Anastasius (211)","Digna (848)"
"Anastasius (211)","Felix (1136)"
"Beldinis (446)","Digna (848)"
"Beldinis (446)","Felix (1136)"
"Digna (848)","Felix (1136)"
"Andreas (233)","Benedictus (450)"
"Anicetus (251)","Photinus (2508)"
"Ansanus (257)","Maxima (2140)"
"Anstantius (3356)","Antonianus (3357)"
"Cirycus (688)","Iulitta (1739)"
"Claudinus (3420)","Praepedigna (3421)"
"Asturius (351)","Claudius (695)"
"Asturius (351)","Domnina (879)"
"Asturius (351)","Neon (2252)"
"Asturius (351)","Theonilla (3020)"
"Claudius (695)","Domnina (879)"
"Claudius (695)","Neon (2252)"
"Claudius (695)","Theonilla (3020)"
"Domnina (879)","Neon (2252)"
"Domnina (879)","Theonilla (3020)"
"Neon (2252)","Theonilla (3020)"
"Claudius (696)","Hilaria (1509)"
"Claudius (696)","Iason (1589)"
"Claudius (696)","Maurus (2128)"
"Hilaria (1509)","Iason (1589)"
"Hilaria (1509)","Maurus (2128)"
"Iason (1589)","Maurus (2128)"
"Claudius (697)","Lupercus (1937)"
"Claudius (697)","Victoricus (3184)"
"Lupercus (1937)","Victoricus (3184)"
"Castorius (641)","Claudius (698)"
"Castorius (641)","Nicostratus (2286)"
"Castorius (641)","Simplicius (2873)"
"Castorius (641)","Symphorianus (2947)"
"Claudius (698)","Nicostratus (2286)"
"Claudius (698)","Simplicius (2873)"
"Claudius (698)","Symphorianus (2947)"
"Nicostratus (2286)","Simplicius (2873)"
"Nicostratus (2286)","Symphorianus (2947)"
"Simplicius (2873)","Symphorianus (2947)"
"Conradus (727)","Stephanus (2920)"
"Cosmas (753)","Damianus (800)"
"Gavinus (3493)","Ianuarius (3495)"
"Gavinus (3493)","Protus (3494)"
"Ianuarius (3495)","Protus (3494)"
"Anthimus (273)","Lucina (1916)"
"Anthimus (273)","Pinianus (2516)"
"Anthimus (273)","Sisinnius (2882)"
"Lucina (1916)","Pinianus (2516)"
"Lucina (1916)","Sisinnius (2882)"
"Pinianus (2516)","Sisinnius (2882)"
"Antonius (291)","Iohannes (1619)"
"Antonius (291)","Merulus (2198)"
"Iohannes (1619)","Merulus (2198)"
"Apollo (303)","Crotas (768)"
"Apollo (303)","Isacius (1706)"
"Crotas (768)","Isacius (1706)"
"Aquila (3341)","Prisca (3342)"
"Arcadius (3364)","Eutychianus (3367)"
"Arcadius (3364)","Paschasius (3365)"
"Arcadius (3364)","Probus (3366)"
"Eutychianus (3367)","Paschasius (3365)"
"Eutychianus (3367)","Probus (3366)"
"Paschasius (3365)","Probus (3366)"
"Archelaa (315)","Susanna (2931)"
"Archelaa (315)","Thecla (2976)"
"Susanna (2931)","Thecla (2976)"
"Argentea (321)","Vulfuras (3231)"
"Artemius (342)","Candida (599)"
"Artemius (342)","Paulina (2389)"
"Candida (599)","Paulina (2389)"
"Aurea (372)","Censurinus (659)"
"Aurelia (3378)","Neomasia (3379)"
"Aureus (378)","Iustina (3822)"
"Barlaam (415)","Iosaphat (1686)"
"Barontus (418)","Desiderius (833)"
"Baya (437)","Maura (2110)"
"Benedictus (460)","Iohannes (1620)"
"Benignus (3390)","Carus (3391)"
"Accursius (23)","Adiutus (53)"
"Accursius (23)","Beraldus (470)"
"Accursius (23)","Otto (2339)"
"Accursius (23)","Petrus (2442)"
"Adiutus (53)","Beraldus (470)"
"Adiutus (53)","Otto (2339)"
"Adiutus (53)","Petrus (2442)"
"Beraldus (470)","Otto (2339)"
"Beraldus (470)","Petrus (2442)"
"Otto (2339)","Petrus (2442)"
"Bernica (3396)","Domnina (3763)"
"Bernica (3396)","Prosdoca (3397)"
"Domnina (3763)","Prosdoca (3397)"
"Atalenus (352)","Bertharius (497)"
"Bertholdus (501)","Menricus (2190)"
"Bibiana (515)","Dafrosa (794)"
"Bibiana (515)","Faustus (1121)"
"Bibiana (515)","Flavianus (1201)"
"Bibiana (515)","Pigmenius (2512)"
"Dafrosa (794)","Faustus (1121)"
"Dafrosa (794)","Flavianus (1201)"
"Dafrosa (794)","Pigmenius (2512)"
"Faustus (1121)","Flavianus (1201)"
"Faustus (1121)","Pigmenius (2512)"
"Flavianus (1201)","Pigmenius (2512)"
"Blasius (3398)","Demetrius (3399)"
"Bonosus (550)","Maximilianus (2147)"
"Adulfus (56)","Botulfus (551)"
"Bova (553)","Doda (862)"
"Caesarius (586)","Iulianus (1728)"
"Calepodius (589)","Callistus (592)"
"Calocerus (596)","Parthenius (2369)"
"Cantianilla (607)","Cantianus (608)"
"Cantianilla (607)","Cantius (609)"
"Cantianus (608)","Cantius (609)"
"Bassa (431)","Capellus (612)"
"Abundius (11)","Anastasius (206)"
"Abundius (11)","Briccius (3852)"
"Abundius (11)","Carpophorus (627)"
"Anastasius (206)","Briccius (3852)"
"Anastasius (206)","Carpophorus (627)"
"Briccius (3852)","Carpophorus (627)"
"Agathonice (3411)","Carpus (3409)"
"Agathonice (3411)","Pamphilus (3410)"
"Carpus (3409)","Pamphilus (3410)"
"Cassius (3413)","Victorinus (3414)"
"Cassius (637)","Castus (645)"
"Castus (646)","Secundinus (2784)"
"Centolla (662)","Helena (1464)"
"Christina (674)","Hildewardus (1531)"
"Christophorus (678)","Leovigildus (1866)"
"Chrysantus (684)","Daria (806)"
"Crescentinus (760)","Iustinus (1753)"
"Crispinianus (765)","Crispinus (766)"
"Benedicta (3432)","Crispinianus (3430)"
"Benedicta (3432)","Crispinus (3429)"
"Crispinianus (3430)","Crispinus (3429)"
"Crispinus (3431)","Gaius (3433)"
"Cyprianus (781)","Felix (1138)"
"Cyprianus (783)","Iustina (1747)"
"Cyprianus (783)","Theoctistus (2985)"
"Iustina (1747)","Theoctistus (2985)"
"Cyriacus (785)","Largus (1810)"
"Cyriacus (785)","Maximianus (2143)"
"Cyriacus (785)","Smaragdus (3828)"
"Largus (1810)","Maximianus (2143)"
"Largus (1810)","Smaragdus (3828)"
"Maximianus (2143)","Smaragdus (3828)"
"Cyriacus (786)","Paula (2387)"
"Cyrillus (791)","Methodius (2200)"
"Cyrus (793)","Iohannes (1622)"
"Angelus (239)","Daniel (804)"
"Angelus (239)","Samuel (2758)"
"Daniel (804)","Samuel (2758)"
"Decentius (816)","Germanus (1344)"
"Desiderius (838)","Reginfridus (2636)"
"Digna (849)","Eumenia (1048)"
"Digna (849)","Euprepia (1060)"
"Eumenia (1048)","Euprepia (1060)"
"Digna (850)","Merita (2195)"
"Diodoritus (3444)","Rodopianus (3445)"
"Diodorus (851)","Marianus (2053)"
"Dionysius (858)","Eleutherius (947)"
"Dionysius (858)","Rusticius (2732)"
"Eleutherius (947)","Rusticius (2732)"
"Domneo (878)","Domnio (882)"
"Donatianus (885)","Rogatianus (2688)"
"Donatianus (3448)","Praesidius (3449)"
"Donatus (888)","Hilarianus (1510)"
"Donatus (889)","Felix (1139)"
"Donatus (894)","Romulus (2708)"
"Dorothea (901)","Theophilus (3025)"
"Dympna (913)","Gerebernus (1335)"
"Antia (274)","Eleutherius (951)"
"Elfleda (954)","Merwinna (2199)"
"Almarus (147)","Emanus (965)"
"Almarus (147)","Maurilius (2118)"
"Emanus (965)","Maurilius (2118)"
"Candida (600)","Emerius (970)"
"Celedonius (655)","Emetherius (971)"
"Emila (973)","Hieremias (1505)"
"Eovaldus (983)","Sixtus (2887)"
"Astion (350)","Epictetus (987)"
"Alexander (133)","Epipodius (991)"
"Ethelbertus (1016)","Ethelredus (1021)"
"Eucharius (1027)","Maternus (2099)"
"Eucharius (1027)","Valerius (3123)"
"Maternus (2099)","Valerius (3123)"
"Eugenia (1033)","Hyacinthus (1565)"
"Eugenia (1033)","Prothus (2582)"
"Hyacinthus (1565)","Prothus (2582)"
"Dorothea (899)","Erasma (994)"
"Dorothea (899)","Euphemia (1050)"
"Dorothea (899)","Thecla (2977)"
"Erasma (994)","Euphemia (1050)"
"Erasma (994)","Thecla (2977)"
"Euphemia (1050)","Thecla (2977)"
"Euphemia (1052)","Thecla (2978)"
"Eusebius (1069)","Peregrinus (2423)"
"Eusebius (1069)","Pontianus (2536)"
"Eusebius (1069)","Vincentius (3193)"
"Peregrinus (2423)","Pontianus (2536)"
"Peregrinus (2423)","Vincentius (3193)"
"Pontianus (2536)","Vincentius (3193)"
"Eustachius (1073)","Theopiste (3026)"
"Auxentius (387)","Eustratius (1079)"
"Eutyches (1084)","Maro (2071)"
"Eutyches (1084)","Victorinus (3179)"
"Maro (2071)","Victorinus (3179)"
"Eutychius (1090)","Florentius (1211)"
"Ewaldus (1099)","Ewaldus (alius) (3839)"
"Ezo (1106)","Mathildis (2102)"
"Ezo (1106)","Richeza (2669)"
"Mathildis (2102)","Richeza (2669)"
"Facundus (1111)","Primitivus (2554)"
"Evilasius (1096)","Fausta (1117)"
"Faustinus (1120)","Iovita (1689)"
"Faustus (1122)","Ianuarius (1586)"
"Faustus (1122)","Martialis (2077)"
"Ianuarius (1586)","Martialis (2077)"
"Faustus (1123)","Pigmenius (2514)"
"Agapitus (72)","Felicissimus (1131)"
"Alexander (3840)","Felicitas (1132)"
"Felix (1150)","Fortunatus (1230)"
"Adauctus (44)","Felix (1157)"
"Felix (1162)","Regula (2638)"
"Achilleus (25)","Felix (1165)"
"Achilleus (25)","Fortunatus (1231)"
"Felix (1165)","Fortunatus (1231)"
"Felix (3472)","Hilarius (3849)"
"Castolus (3476)","Felix (3475)"
"Eusebius (3478)","Felix (3477)"
"Ferreolus (1170)","Ferrucio (1172)"
"Carpophorus (628)","Exantus (1100)"
"Carpophorus (628)","Fidelis (1177)"
"Exantus (1100)","Fidelis (1177)"
"Fidentius (3481)","Terentius (3482)"
"Caprasius (613)","Felicianus (1127)"
"Caprasius (613)","Fides (1179)"
"Caprasius (613)","Primus (2555)"
"Felicianus (1127)","Fides (1179)"
"Felicianus (1127)","Primus (2555)"
"Fides (1179)","Primus (2555)"
"Caritas (621)","Fides (1180)"
"Caritas (621)","Sophia (2896)"
"Caritas (621)","Spes (2903)"
"Fides (1180)","Sophia (2896)"
"Fides (1180)","Spes (2903)"
"Sophia (2896)","Spes (2903)"
"Firmus (1199)","Rusticus (2734)"
"Flora (1205)","Maria (2040)"
"Florentinus (1210)","Hilarius (1512)"
"Florentius (1217)","Iulianus (1729)"
"Florentius (1218)","Vindemialis (3204)"
"Anthes (272)","Fortunatus (1233)"
"Anthes (272)","Gaius (1271)"
"Fortunatus (1233)","Gaius (1271)"
"Augurius (366)","Eulogius (1046)"
"Augurius (366)","Fructuosus (1261)"
"Eulogius (1046)","Fructuosus (1261)"
"Fusca (1267)","Maura (2111)"
"Fuscianus (1268)","Gentianus (1315)"
"Fuscianus (1268)","Victoricus (3177)"
"Gentianus (1315)","Victoricus (3177)"
"Gallicanus (1278)","Iohannes (1621)"
"Gallicanus (1278)","Paulus (2397)"
"Iohannes (1621)","Paulus (2397)"
"Culmatus (772)","Gaudentius (1287)"
"Eugenius (1034)","Genesius (1309)"
"Aurelius (377)","Felix (1140)"
"Aurelius (377)","Georgius (1321)"
"Felix (1140)","Georgius (1321)"
"Cassius (638)","Florentius (1212)"
"Cassius (638)","Gereon (1338)"
"Cassius (638)","Victor (3161)"
"Florentius (1212)","Gereon (1338)"
"Florentius (1212)","Victor (3161)"
"Gereon (1338)","Victor (3161)"
"Iustinus (1756)","Virianus (3208)"
"Felix (1141)","Florentius (1213)"
"Felix (1141)","Iusta (3783)"
"Felix (1141)","Iustinus (1758)"
"Florentius (1213)","Iusta (3783)"
"Florentius (1213)","Iustinus (1758)"
"Iusta (3783)","Iustinus (1758)"
"Iustus (1762)","Pastor (2375)"
"Abundius (13)","Iustus (1763)"
"Clemens (700)","Iustus (1769)"
"Kineburga (1790)","Kineswitha (1792)"
"Kineburga (1790)","Tibba (3049)"
"Kineswitha (1792)","Tibba (3049)"
"Leo (1840)","Marinus (2062)"
"Carpophorus (629)","Leontius (1861)"
"Germanus (1349)","Iustus (1760)"
"Germanus (1349)","Paulinus (2391)"
"Germanus (1349)","Sicicius (2839)"
"Iustus (1760)","Paulinus (2391)"
"Iustus (1760)","Sicicius (2839)"
"Paulinus (2391)","Sicicius (2839)"
